"id";"textsuggest";"subtext";"extrasearch";"extradisplay";"type";"action";"value";"popularity";"thumbnail_url";"phonetic"
"CO_MD";"Moldova";"Capital: Chişinău";"MD";;"Countries";;;4324000;"http://flags.blogpotato.de/flags/large/all/md.png";
"CO_ME";"Montenegro";"Capital: Podgorica";"ME";;"Countries";;;666730;"http://flags.blogpotato.de/flags/large/all/me.png";
"CO_MF";"Saint Martin";"Capital: Marigot";"MF";;"Countries";;;35925;"http://flags.blogpotato.de/flags/large/all/mf.png";
"CO_MG";"Madagascar";"Capital: Antananarivo";"MG";;"Countries";;;21281844;"http://flags.blogpotato.de/flags/large/all/mg.png";
"CO_MH";"Marshall Islands";"Capital: Majuro";"MH";;"Countries";;;65859;"http://flags.blogpotato.de/flags/large/all/mh.png";
"CO_MK";"Macedonia";"Capital: Skopje";"MK";;"Countries";;;2061000;"http://flags.blogpotato.de/flags/large/all/mk.png";
"CO_ML";"Mali";"Capital: Bamako";"ML";;"Countries";;;13796354;"http://flags.blogpotato.de/flags/large/all/ml.png";
"CO_MM";"Myanmar";"Capital: Nay Pyi Taw";"MM";;"Countries";;;53414374;"http://flags.blogpotato.de/flags/large/all/mm.png";
"CO_MN";"Mongolia";"Capital: Ulan Bator";"MN";;"Countries";;;3086918;"http://flags.blogpotato.de/flags/large/all/mn.png";
"CO_MO";"Macao";"Capital: Macao";"MO";;"Countries";;;449198;"http://flags.blogpotato.de/flags/large/all/mo.png";
"CO_MP";"Northern Mariana Islands";"Capital: Saipan";"MP";;"Countries";;;86000;"http://flags.blogpotato.de/flags/large/all/mp.png";
"CO_MQ";"Martinique";"Capital: Fort-de-France";"MQ";;"Countries";;;432900;"http://flags.blogpotato.de/flags/large/all/mq.png";
"CO_MR";"Mauritania";"Capital: Nouakchott";"MR";;"Countries";;;3205060;"http://flags.blogpotato.de/flags/large/all/mr.png";
"CO_MS";"Montserrat";"Capital: Plymouth";"MS";;"Countries";;;9341;"http://flags.blogpotato.de/flags/large/all/ms.png";
"CO_MT";"Malta";"Capital: Valletta";"MT";;"Countries";;;403000;"http://flags.blogpotato.de/flags/large/all/mt.png";
"CO_MU";"Mauritius";"Capital: Port Louis";"MU";;"Countries";;;1294104;"http://flags.blogpotato.de/flags/large/all/mu.png";
"CO_MV";"Maldives";"Capital: Malé";"MV";;"Countries";;;395650;"http://flags.blogpotato.de/flags/large/all/mv.png";
"CO_MW";"Malawi";"Capital: Lilongwe";"MW";;"Countries";;;15447500;"http://flags.blogpotato.de/flags/large/all/mw.png";
"CO_MX";"Mexico";"Capital: Mexico City";"MX";;"Countries";;;112468855;"http://flags.blogpotato.de/flags/large/all/mx.png";
"CO_MY";"Malaysia";"Capital: Kuala Lumpur";"MY";;"Countries";;;28274729;"http://flags.blogpotato.de/flags/large/all/my.png";
"CO_MZ";"Mozambique";"Capital: Maputo";"MZ";;"Countries";;;22061451;"http://flags.blogpotato.de/flags/large/all/mz.png";
"CO_NA";"Namibia";"Capital: Windhoek";"NA";;"Countries";;;2128471;"http://flags.blogpotato.de/flags/large/all/na.png";
"CO_NC";"New Caledonia";"Capital: Nouméa";"NC";;"Countries";;;216494;"http://flags.blogpotato.de/flags/large/all/nc.png";
